sudoku_id,original_id,simple_time_mean,simple_time_std_dev,simple_nodes,simple_backtracks,dsatur_time_mean,dsatur_time_std_dev,dsatur_nodes,dsatur_backtracks
1,01,0.0031305233637491862,0.0048183485337515005,200,151,0.010342669486999512,0.0056993678956024614,49,0
2,02,0.0028197606404622394,0.0037315370202212683,294,243,0.010323564211527506,0.005692149861955437,56,5
3,03,0.20199437141418458,0.007164494653648431,19022,18969,0.02730695406595866,0.004123102892258779,116,63
4,04,0.021402176221211752,0.004848541890939221,1682,1631,0.007950305938720703,0.006841906746601397,53,2
5,05,0.0034689108530680337,0.0034601076103952895,76,31,0.011833810806274414,0.007327760959398454,45,0
6,06,0.8438398917516072,0.014118660014919819,78211,78154,0.07093812624613444,0.007592239490743226,360,303
7,07,0.04184911251068115,0.005463576462707495,3557,3502,0.014508247375488281,0.007535918965345105,70,15
8,08,0.002376882235209147,0.004931166026460599,70,25,0.012317148844401042,0.007003656907919716,45,0
9,09,1.548179276784261,0.023534757447090014,144590,144535,0.13264359633127848,0.004130355550384153,635,580
10,10,0.06046539147694906,0.0076811171738364655,5327,5274,0.05581231117248535,0.006117685038680238,291,238
11,11,0.1967964013417562,0.006949627088137777,18665,18612,0.01604916254679362,0.006567458899183536,66,13
12,12,0.010950533548990886,0.007151044564670441,1067,1018,0.009644897778828938,0.006905697279741593,49,0
13,13,2.4863777716954547,0.04085053425686196,243098,243044,0.019501781463623045,0.008186478509025898,88,34
14,14,0.7573076566060384,0.014833200462043252,75283,75229,0.06193658510843913,0.005212001658912446,302,248
15,15,0.05163238048553467,0.006223437841131198,4988,4933,0.016039562225341798,0.0065972477170129695,68,13
16,16,0.0001100619633992513,0.0002968533507437606,70,25,0.00920871098836263,0.006276392581180501,45,0
17,17,3.332297007242839e-05,0.00018251742391738586,57,12,0.009736196200052897,0.005914187869460705,45,0
18,18,0.021396629015604653,0.005888158161678154,1819,1767,0.023734903335571288,0.005427546553199656,102,50
19,19,0.004859026273091634,0.0040584934743647634,559,510,0.009522469838460286,0.006489601301978107,49,0
20,20,0.014600674311319986,0.0065080230577792735,1824,1775,0.010753170649210612,0.006208697292842178,49,0
21,21,0.013378326098124187,0.007649866262885272,1118,1067,0.014116136233011882,0.007456960484918245,75,24
22,22,0.4820819060007731,0.011188530100573517,45166,45111,0.03991254965464274,0.006601047400657242,185,130
23,23,0.1557875951131185,0.006110408344553571,15157,15104,0.019468307495117188,0.007366710708837182,76,23
24,24,0.14316657384236653,0.012286705867034085,13699,13644,0.011228617032368977,0.007589805900171757,63,8
25,25,0.03624983628590902,0.00738978919590983,3588,3535,0.02773285706837972,0.0068493797818307755,132,79
26,26,0.10453259150187175,0.016837116583883645,10168,10111,0.03845169544219971,0.007827975208822644,186,129
27,27,0.04854371547698975,0.008864543906840895,4132,4078,0.014915021260579427,0.008326458336381497,62,8
28,28,0.3855261246363322,0.028521007979089963,39955,39902,0.010427014032999674,0.006952988997877603,53,0
29,29,0.15775864124298095,0.0069478368208215485,14954,14900,0.08488966623942057,0.00624644651079217,410,356
30,30,0.3807724157969157,0.024391053214210708,34980,34925,0.027776948610941567,0.006465841374364725,121,66
31,31,0.550324575106303,0.019397885531098016,52879,52823,0.106272292137146,0.0085510075335361,515,459
32,32,0.2948155879974365,0.009877705285358104,26457,26402,0.01817951202392578,0.0050174004996829755,71,16
33,33,0.0005529403686523437,0.002406752081327121,206,157,0.011301859219868978,0.004248512751675974,64,15
34,34,0.010374029477437338,0.008368422056331466,658,608,0.011359445254007975,0.004596357541032825,50,0
35,35,0.03084275722503662,0.007356755549346011,2999,2948,0.009896270434061686,0.004420617788038491,51,0
36,36,0.004917049407958984,0.006531166243154585,237,188,0.011335937182108562,0.00556375463337903,49,0
37,37,0.014624794324239096,0.007263841008940798,1338,1289,0.022134669621785483,0.005946148996699515,103,54
38,38,0.009275150299072266,0.007203989147338725,1074,1023,0.010901625951131184,0.005808682768723635,51,0
39,39,0.005717714627583821,0.005087885135975756,276,225,0.010765512784322103,0.0058222174936548125,51,0
40,40,0.0029065847396850587,0.00224201206063207,307,258,0.011231319109598795,0.006029098935823567,49,0
41,41,1.5452164570490519,0.02496452148261203,144590,144535,0.13338051637013754,0.005404555736540628,635,580
42,42,0.06452811559041341,0.003011678931730516,5740,5685,0.041274468104044594,0.00497241927077849,224,169
43,43,0.04836492538452149,0.008859073067737965,4320,4265,0.055995599428812666,0.006341540986910517,270,215
44,44,0.05977427164713542,0.006953184514956549,5487,5430,0.08414670626322428,0.006557745707761762,405,348
45,45,0.26818954149881996,0.006643208167122222,26777,26722,0.019275935490926106,0.003767462870604338,78,23
46,46,0.039632717768351235,0.005579288030560511,3420,3363,0.12255334854125977,0.006604898959649961,602,545
47,47,0.01730936368306478,0.006719919741748422,1415,1357,0.014648652076721192,0.003308635753525474,64,6
48,48,1.5113451162974039,0.024651470985267494,145169,145113,0.05978959401448568,0.0047138843763977175,313,257
49,49,0.0234692653020223,0.006392463687361722,1774,1715,0.1364602247873942,0.006191230787258171,654,595
50,50,0.16287827491760254,0.0083967686543525,16161,16105,0.0321854035059611,0.004294361899713058,160,104
